match_id,tournament_id,team_id_home,team_name_home,team_code_home,goals_for_home,goals_against_home,goal_differential_home,win_home,draw_home,lose_home,extra_time_home,penalty_shootout_home,penalties_for_home,penalties_against_home,team_id_away,team_name_away,team_code_away,goals_for_away,goals_against_away,goal_differential_away,win_away,draw_away,lose_away,extra_time_away,penalty_shootout_away,penalties_for_away,penalties_against_away,year,stage_name,group_name,group_stage,knockout_stage,match_date,result_home
M-2018-04,WC-2018,T-58,Portugal,PRT,3,3,0,0,1,0,0,0,0,0,T-73,Spain,ESP,3,3,0,0,1,0,0,0,0,0,2018,group stage,Group B,1,0,2018-06-15,D
M-2018-05,WC-2018,T-30,France,FRA,2,1,1,1,0,0,0,0,0,0,T-04,Australia,AUS,1,2,-1,0,0,1,0,0,0,0,2018,group stage,Group C,1,0,2018-06-16,W
M-2018-06,WC-2018,T-03,Argentina,ARG,1,1,0,0,1,0,0,0,0,0,T-37,Iceland,ISL,1,1,0,0,1,0,0,0,0,0,2018,group stage,Group D,1,0,2018-06-16,D
M-2018-07,WC-2018,T-56,Peru,PER,0,1,-1,0,0,1,0,0,0,0,T-22,Denmark,DNK,1,0,1,1,0,0,0,0,0,0,2018,group stage,Group C,1,0,2018-06-16,L
M-2018-08,WC-2018,T-18,Croatia,HRV,2,0,2,1,0,0,0,0,0,0,T-50,Nigeria,NGA,0,2,-2,0,0,1,0,0,0,0,2018,group stage,Group D,1,0,2018-06-16,W
M-2018-09,WC-2018,T-17,Costa Rica,CRI,0,1,-1,0,0,1,0,0,0,0,T-66,Serbia,SRB,1,0,1,1,0,0,0,0,0,0,2018,group stage,Group E,1,0,2018-06-17,L
M-2018-10,WC-2018,T-31,Germany,DEU,0,1,-1,0,0,1,0,0,0,0,T-46,Mexico,MEX,1,0,1,1,0,0,0,0,0,0,2018,group stage,Group F,1,0,2018-06-17,L
M-2018-11,WC-2018,T-09,Brazil,BRA,1,1,0,0,1,0,0,0,0,0,T-75,Switzerland,CHE,1,1,0,0,1,0,0,0,0,0,2018,group stage,Group E,1,0,2018-06-17,D
M-2018-12,WC-2018,T-74,Sweden,SWE,1,0,1,1,0,0,0,0,0,0,T-71,South Korea,KOR,0,1,-1,0,0,1,0,0,0,0,2018,group stage,Group F,1,0,2018-06-18,W
M-2018-13,WC-2018,T-06,Belgium,BEL,3,0,3,1,0,0,0,0,0,0,T-54,Panama,PAN,0,3,-3,0,0,1,0,0,0,0,2018,group stage,Group G,1,0,2018-06-18,W
M-2018-14,WC-2018,T-79,Tunisia,TUN,1,2,-1,0,0,1,0,0,0,0,T-28,England,ENG,2,1,1,1,0,0,0,0,0,0,2018,group stage,Group G,1,0,2018-06-18,L
M-2018-15,WC-2018,T-16,Colombia,COL,1,2,-1,0,0,1,0,0,0,0,T-44,Japan,JPN,2,1,1,1,0,0,0,0,0,0,2018,group stage,Group H,1,0,2018-06-19,L
M-2018-16,WC-2018,T-57,Poland,POL,1,2,-1,0,0,1,0,0,0,0,T-65,Senegal,SEN,2,1,1,1,0,0,0,0,0,0,2018,group stage,Group H,1,0,2018-06-19,L
M-2018-17,WC-2018,T-62,Russia,RUS,3,1,2,1,0,0,0,0,0,0,T-26,Egypt,EGY,1,3,-2,0,0,1,0,0,0,0,2018,group stage,Group A,1,0,2018-06-19,W
M-2018-18,WC-2018,T-58,Portugal,PRT,1,0,1,1,0,0,0,0,0,0,T-47,Morocco,MAR,0,1,-1,0,0,1,0,0,0,0,2018,group stage,Group B,1,0,2018-06-20,W
M-2018-19,WC-2018,T-84,Uruguay,URY,1,0,1,1,0,0,0,0,0,0,T-63,Saudi Arabia,SAU,0,1,-1,0,0,1,0,0,0,0,2018,group stage,Group A,1,0,2018-06-20,W
M-2018-20,WC-2018,T-38,Iran,IRN,0,1,-1,0,0,1,0,0,0,0,T-73,Spain,ESP,1,0,1,1,0,0,0,0,0,0,2018,group stage,Group B,1,0,2018-06-20,L
M-2018-21,WC-2018,T-22,Denmark,DNK,1,1,0,0,1,0,0,0,0,0,T-04,Australia,AUS,1,1,0,0,1,0,0,0,0,0,2018,group stage,Group C,1,0,2018-06-21,D
M-2018-22,WC-2018,T-30,France,FRA,1,0,1,1,0,0,0,0,0,0,T-56,Peru,PER,0,1,-1,0,0,1,0,0,0,0,2018,group stage,Group C,1,0,2018-06-21,W
M-2018-23,WC-2018,T-03,Argentina,ARG,0,3,-3,0,0,1,0,0,0,0,T-18,Croatia,HRV,3,0,3,1,0,0,0,0,0,0,2018,group stage,Group D,1,0,2018-06-21,L
